date,region,horizon,cell,strategy,ticker,model,last_price,predicted_return,dead_zone,signal,position_usd,weight_pct,borrow_cost
2026-04-11,china,120,CHINA 120d,LF,0700.HK,dry-run,100.0,4.703,0.5,LONG,11111.11,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,0941.HK,dry-run,100.0,-9.755,0.5,SHORT-BLOCKED,0.0,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,2318.HK,dry-run,100.0,-6.511,0.5,FLAT,0.0,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,1299.HK,dry-run,100.0,0.639,0.5,LONG,11111.11,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,0005.HK,dry-run,100.0,-1.581,0.5,SHORT-BLOCKED,0.0,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,0001.HK,dry-run,100.0,-0.084,0.5,FLAT,0.0,10.0,0.0
2026-04-11,japan,60,JAPAN 60d,LSF,8035.T,dry-run,100.0,1.524,2.0,FLAT,0.0,10.0,0.0
2026-04-11,japan,60,JAPAN 60d,LSF,6902.T,dry-run,100.0,-5.2,2.0,SHORT,-11111.11,10.0,27.4
2026-04-11,japan,60,JAPAN 60d,LSF,4661.T,dry-run,100.0,3.752,2.0,LONG,11111.11,10.0,0.0
2026-04-11,japan,60,JAPAN 60d,LSF,7203.T,dry-run,100.0,4.703,2.0,LONG,11111.11,10.0,0.0
2026-04-11,japan,60,JAPAN 60d,LSF,6758.T,dry-run,100.0,-9.755,2.0,SHORT,-11111.11,10.0,27.4
2026-04-11,japan,60,JAPAN 60d,LSF,9984.T,dry-run,100.0,-6.511,2.0,SHORT,-11111.11,10.0,27.4
2026-04-11,japan,60,JAPAN 60d,LSF,8306.T,dry-run,100.0,0.639,2.0,FLAT,0.0,10.0,0.0
2026-04-11,japan,60,JAPAN 60d,LSF,4502.T,dry-run,100.0,-1.581,2.0,FLAT,0.0,10.0,0.0
2026-04-11,japan,60,JAPAN 60d,LSF,7974.T,dry-run,100.0,-0.084,2.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,NVDA,dry-run,100.0,1.524,0.0,LONG,8333.33,10.0,0.0
2026-04-11,us,60,US 60d,LF,UNH,dry-run,100.0,-5.2,0.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,GS,dry-run,100.0,3.752,0.0,LONG,8333.33,10.0,0.0
2026-04-11,us,60,US 60d,LF,CVX,dry-run,100.0,4.703,0.0,LONG,8333.33,10.0,0.0
2026-04-11,us,60,US 60d,LF,KO,dry-run,100.0,-9.755,0.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,BA,dry-run,100.0,-6.511,0.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,AAPL,dry-run,100.0,0.639,0.0,LONG,8333.33,10.0,0.0
2026-04-11,us,60,US 60d,LF,MSFT,dry-run,100.0,-1.581,0.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,AMZN,dry-run,100.0,-0.084,0.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,GOOGL,dry-run,100.0,-4.265,0.0,FLAT,0.0,10.0,0.0
2026-04-11,us,60,US 60d,LF,META,dry-run,100.0,4.397,0.0,LONG,8333.33,10.0,0.0
2026-04-11,us,60,US 60d,LF,JPM,dry-run,100.0,3.889,0.0,LONG,8333.33,10.0,0.0
